"tidyteam","tidyplayer","tidyamericanodds","tidyshot_points","tidyawayteam","tidyhometeam","tidygamedatetime","site","sport","prop","timestamp","game"
"MIL","team",124,2,"MIL","ORL",2023-11-11 19:00:00,"csr","nba","ftts shot points",2023-11-11 12:27:05,"MIL @ ORL"
"ORL","team",170,2,"MIL","ORL",2023-11-11 19:00:00,"csr","nba","ftts shot points",2023-11-11 12:27:05,"MIL @ ORL"
"MIL","team",440,3,"MIL","ORL",2023-11-11 19:00:00,"csr","nba","ftts shot points",2023-11-11 12:27:05,"MIL @ ORL"
"ORL","team",750,3,"MIL","ORL",2023-11-11 19:00:00,"csr","nba","ftts shot points",2023-11-11 12:27:05,"MIL @ ORL"
"BOS","team",130,2,"TOR","BOS",2023-11-11 20:00:00,"csr","nba","ftts shot points",2023-11-11 12:27:05,"TOR @ BOS"
"TOR","team",170,2,"TOR","BOS",2023-11-11 20:00:00,"csr","nba","ftts shot points",2023-11-11 12:27:05,"TOR @ BOS"
"BOS","team",440,3,"TOR","BOS",2023-11-11 20:00:00,"csr","nba","ftts shot points",2023-11-11 12:27:05,"TOR @ BOS"
"TOR","team",650,3,"TOR","BOS",2023-11-11 20:00:00,"csr","nba","ftts shot points",2023-11-11 12:27:05,"TOR @ BOS"
"ATL","team",140,2,"MIA","ATL",2023-11-11 20:30:00,"csr","nba","ftts shot points",2023-11-11 12:27:05,"MIA @ ATL"
"MIA","team",150,2,"MIA","ATL",2023-11-11 20:30:00,"csr","nba","ftts shot points",2023-11-11 12:27:05,"MIA @ ATL"
"MIA","team",480,3,"MIA","ATL",2023-11-11 20:30:00,"csr","nba","ftts shot points",2023-11-11 12:27:05,"MIA @ ATL"
"ATL","team",650,3,"MIA","ATL",2023-11-11 20:30:00,"csr","nba","ftts shot points",2023-11-11 12:27:05,"MIA @ ATL"
"CLE","team",126,2,"CLE","GSW",2023-11-11 21:30:00,"csr","nba","ftts shot points",2023-11-11 12:27:05,"CLE @ GSW"
"GSW","team",180,2,"CLE","GSW",2023-11-11 21:30:00,"csr","nba","ftts shot points",2023-11-11 12:27:05,"CLE @ GSW"
"GSW","team",525,3,"CLE","GSW",2023-11-11 21:30:00,"csr","nba","ftts shot points",2023-11-11 12:27:05,"CLE @ GSW"
"CLE","team",525,3,"CLE","GSW",2023-11-11 21:30:00,"csr","nba","ftts shot points",2023-11-11 12:27:05,"CLE @ GSW"
"MIL","team",110,2,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba","ftts shot points",2023-11-11 12:27:09,"MIL @ ORL"
"MIL","team",390,3,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba","ftts shot points",2023-11-11 12:27:09,"MIL @ ORL"
"ORL","team",175,2,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba","ftts shot points",2023-11-11 12:27:09,"MIL @ ORL"
"ORL","team",600,3,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba","ftts shot points",2023-11-11 12:27:09,"MIL @ ORL"
"TOR","team",175,2,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba","ftts shot points",2023-11-11 12:27:09,"TOR @ BOS"
"TOR","team",550,3,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba","ftts shot points",2023-11-11 12:27:09,"TOR @ BOS"
"BOS","team",115,2,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba","ftts shot points",2023-11-11 12:27:09,"TOR @ BOS"
"BOS","team",390,3,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba","ftts shot points",2023-11-11 12:27:09,"TOR @ BOS"
"MIA","team",125,2,"MIA","ATL",2023-11-11 20:30:00,"draftkings","nba","ftts shot points",2023-11-11 12:27:09,"MIA @ ATL"
"MIA","team",425,3,"MIA","ATL",2023-11-11 20:30:00,"draftkings","nba","ftts shot points",2023-11-11 12:27:09,"MIA @ ATL"
"ATL","team",155,2,"MIA","ATL",2023-11-11 20:30:00,"draftkings","nba","ftts shot points",2023-11-11 12:27:09,"MIA @ ATL"
"ATL","team",550,3,"MIA","ATL",2023-11-11 20:30:00,"draftkings","nba","ftts shot points",2023-11-11 12:27:09,"MIA @ ATL"
"CLE","team",120,2,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba","ftts shot points",2023-11-11 12:27:09,"CLE @ GSW"
"CLE","team",450,3,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba","ftts shot points",2023-11-11 12:27:09,"CLE @ GSW"
"GSW","team",170,2,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba","ftts shot points",2023-11-11 12:27:09,"CLE @ GSW"
"GSW","team",450,3,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba","ftts shot points",2023-11-11 12:27:09,"CLE @ GSW"
"Game","game",-354,2,"MIL","ORL",2023-11-11 19:00:00,"csr","nba","first shot points",2023-11-11 12:27:15,"MIL @ ORL"
"Game","game",236,3,"MIL","ORL",2023-11-11 19:00:00,"csr","nba","first shot points",2023-11-11 12:27:15,"MIL @ ORL"
"Game","game",-324,2,"TOR","BOS",2023-11-11 20:00:00,"csr","nba","first shot points",2023-11-11 12:27:15,"TOR @ BOS"
"Game","game",219,3,"TOR","BOS",2023-11-11 20:00:00,"csr","nba","first shot points",2023-11-11 12:27:15,"TOR @ BOS"
"Game","game",-404,2,"MIA","ATL",2023-11-11 20:30:00,"csr","nba","first shot points",2023-11-11 12:27:15,"MIA @ ATL"
"Game","game",262,3,"MIA","ATL",2023-11-11 20:30:00,"csr","nba","first shot points",2023-11-11 12:27:15,"MIA @ ATL"
"Game","game",-324,2,"CLE","GSW",2023-11-11 21:30:00,"csr","nba","first shot points",2023-11-11 12:27:15,"CLE @ GSW"
"Game","game",219,3,"CLE","GSW",2023-11-11 21:30:00,"csr","nba","first shot points",2023-11-11 12:27:15,"CLE @ GSW"
"Game","game",-370,2,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba","first shot points",2023-11-11 12:27:19,"MIL @ ORL"
"Game","game",255,3,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba","first shot points",2023-11-11 12:27:19,"MIL @ ORL"
"Game","game",-340,2,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba","first shot points",2023-11-11 12:27:19,"TOR @ BOS"
"Game","game",235,3,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba","first shot points",2023-11-11 12:27:19,"TOR @ BOS"
"Game","game",-380,2,"MIA","ATL",2023-11-11 20:30:00,"draftkings","nba","first shot points",2023-11-11 12:27:19,"MIA @ ATL"
"Game","game",260,3,"MIA","ATL",2023-11-11 20:30:00,"draftkings","nba","first shot points",2023-11-11 12:27:19,"MIA @ ATL"
"Game","game",-330,2,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba","first shot points",2023-11-11 12:27:19,"CLE @ GSW"
"Game","game",230,3,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba","first shot points",2023-11-11 12:27:19,"CLE @ GSW"
