"season_year","season_type","game_date","game_id","team_id","team_abbreviation","matchup","event","win_tip_prob_xtip","spread","ftts","ftts_prob_glmnet","ftts_prob_earth","model","ftts_prob"
"2023-24","Regular Season",2023-11-11,"0022300175","1610612737","ATL","ATL vs. MIA","points",0.42766845912311,-7,NA,0.49722198684993,0.505652483265408,"points",0.501437235057669
"2023-24","Regular Season",2023-11-11,"0022300174","1610612738","BOS","BOS vs. TOR","points",0.690514706324738,-8,NA,0.563296513016776,0.593929933427296,"points",0.578613223222036
"2023-24","Regular Season",2023-11-11,"0022300176","1610612739","CLE","CLE @ GSW","points",0.612034544752621,4,NA,0.518870818315801,0.520568764756535,"points",0.519719791536168
"2023-24","Regular Season",2023-11-11,"0022300176","1610612744","GSW","GSW vs. CLE","points",0.387965455247379,-4,NA,0.48112959709998,0.481451257296244,"points",0.481290427198112
"2023-24","Regular Season",2023-11-11,"0022300175","1610612748","MIA","MIA @ ATL","points",0.57233154087689,7,NA,0.502778429145569,0.496370460228829,"points",0.499574444687199
"2023-24","Regular Season",2023-11-11,"0022300173","1610612749","MIL","MIL @ ORL","points",0.774832487164544,-3,NA,0.573081158962457,0.597841725554526,"points",0.585461442258492
"2023-24","Regular Season",2023-11-11,"0022300173","1610612753","ORL","ORL vs. MIL","points",0.225167512835456,3,NA,0.426919248158573,0.385044923576908,"points",0.405982085867741
"2023-24","Regular Season",2023-11-11,"0022300174","1610612761","TOR","TOR @ BOS","points",0.309485293675262,8,NA,0.436703896324746,0.403337866138888,"points",0.420020881231817
"2023-24","Regular Season",2023-11-11,"0022300175","1610612737","ATL","ATL vs. MIA","fgm",0.42766845912311,-7,NA,0.493065196372887,0.500439919796193,"fgm",0.49675255808454
"2023-24","Regular Season",2023-11-11,"0022300174","1610612738","BOS","BOS vs. TOR","fgm",0.690514706324738,-8,NA,0.550011285757244,0.583452946467587,"fgm",0.566732116112415
"2023-24","Regular Season",2023-11-11,"0022300176","1610612739","CLE","CLE @ GSW","fgm",0.612034544752621,4,NA,0.518887982343507,0.518528050559124,"fgm",0.518708016451316
"2023-24","Regular Season",2023-11-11,"0022300176","1610612744","GSW","GSW vs. CLE","fgm",0.387965455247379,-4,NA,0.480982453086817,0.477890962405161,"fgm",0.479436707745989
"2023-24","Regular Season",2023-11-11,"0022300175","1610612748","MIA","MIA @ ATL","fgm",0.57233154087689,7,NA,0.506805077122371,0.495973241329342,"fgm",0.501389159225856
"2023-24","Regular Season",2023-11-11,"0022300173","1610612749","MIL","MIL @ ORL","fgm",0.774832487164544,-3,NA,0.561714225924031,0.591579032945996,"fgm",0.576646629435013
"2023-24","Regular Season",2023-11-11,"0022300173","1610612753","ORL","ORL vs. MIL","fgm",0.225167512835456,3,NA,0.438158003873232,0.404958979655376,"fgm",0.421558491764304
"2023-24","Regular Season",2023-11-11,"0022300174","1610612761","TOR","TOR @ BOS","fgm",0.309485293675262,8,NA,0.449860264675064,0.416439986918767,"fgm",0.433150125796915
