game_date,team,home_away,close_moneyline_line,close_spread_line,close_total_line,SBR_team,NBA_team_name,team_id,close_implied_pts,close_implied_pts_allowed
2022-12-12,MEM,home,-478.277936055714,-10.5,222.666666666667,Memphis,Memphis Grizzlies,1610612763,116.5833333333335,106.0833333333335
2022-12-12,WAS,home,178.333333333333,5.5,227.333333333333,Washington,Washington Wizards,1610612764,110.9166666666665,116.4166666666665
2022-12-12,LAC,home,156,4.5,225.5,L.A. Clippers,LA Clippers,1610612746,110.5,115
2022-12-12,SAS,home,343.333333333333,9.5,220.166666666667,San Antonio,San Antonio Spurs,1610612759,105.3333333333335,114.8333333333335
2022-12-12,IND,home,133.666666666667,3.5,228.5,Indiana,Indiana Pacers,1610612754,112.5,116
2022-12-12,POR,home,-170.326042578011,-4,229.5,Portland,Portland Trail Blazers,1610612757,116.75,112.75
2022-12-12,DAL,home,-339.997291734373,-8.5,228,Dallas,Dallas Mavericks,1610612742,118.25,109.75
2022-12-12,ATL,away,390,10.5,222.666666666667,Atlanta,Atlanta Hawks,1610612737,106.0833333333335,116.5833333333335
2022-12-12,BKN,away,-211.665266694666,-5.5,227.333333333333,Brooklyn,Brooklyn Nets,1610612751,116.4166666666665,110.9166666666665
2022-12-12,BOS,away,-185,-4.5,225.5,Boston,Boston Celtics,1610612738,115,110.5
2022-12-12,CLE,away,-423.314902580305,-9.5,220.166666666667,Cleveland,Cleveland Cavaliers,1610612739,114.8333333333335,105.3333333333335
2022-12-12,MIA,away,-162.663091899027,-3.5,228.5,Miami,Miami Heat,1610612748,116,112.5
2022-12-12,MIN,away,143.333333333333,4,229.5,Minnesota,Minnesota Timberwolves,1610612750,112.75,116.75
2022-12-12,OKC,away,283.333333333333,8.5,228,Oklahoma City,Oklahoma City Thunder,1610612760,109.75,118.25
