"game_date","game","player","team","fpts_line","fpts_prob","br_line","br_prob","br_edge","br_kelly","br_units","bs_line","bs_prob","bs_edge","bs_kelly","bs_units","csr_line","csr_prob","csr_edge","csr_kelly","csr_units","dk_line","dk_prob","dk_edge","dk_kelly","dk_units","fd_line","fd_prob","fd_edge","fd_kelly","fd_units","mgm_line","mgm_prob","mgm_edge","mgm_kelly","mgm_units","pb_line","pb_prob","pb_edge","pb_kelly","pb_units","run_timestamp_utc","status"
2022-12-12,"ATL @ MEM","Trent Forrest","ATL",835,0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,0.0625,0.0445,0.0237,2.3725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05,"Changed"
2022-12-12,"ATL @ MEM","De'Andre Hunter","ATL",876,0.1025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,0.0714,0.031,0.0167,1.6712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05,"New"
2022-12-12,"BKN @ WAS","Joe Harris","BKN",1262,0.0734,1500,0.0625,0.0109,0.0058,0.5828,1500,0.0625,0.0109,0.0058,0.5828,950,0.0952,-0.0218,-0.0121,-1.2053,NA,NA,NA,NA,NA,1600,0.0588,0.0146,0.0078,0.7759,1600,0.0588,0.0146,0.0078,0.7759,1400,0.0667,0.0068,0.0036,0.3622,2022-12-12 23:54:05,"Changed"
2022-12-12,"OKC @ DAL","Dwight Powell","DAL",781,0.1135,1100,0.0833,0.0301,0.0164,1.6437,1100,0.0833,0.0301,0.0164,1.6437,800,0.1111,0.0024,0.0013,0.1326,1100,0.0833,0.0301,0.0164,1.6437,1100,0.0833,0.0301,0.0164,1.6437,800,0.1111,0.0024,0.0013,0.1326,1100,0.0833,0.0301,0.0164,1.6437,2022-12-12 23:54:05,"Unchanged"
2022-12-12,"OKC @ DAL","Dorian Finney-Smith","DAL",1166,0.079,1500,0.0625,0.0165,0.0088,0.8792,1500,0.0625,0.0165,0.0088,0.8792,1500,0.0625,0.0165,0.0088,0.8792,1200,0.0769,0.0021,0.0011,0.1117,1500,0.0625,0.0165,0.0088,0.8792,1200,0.0769,0.0021,0.0011,0.1117,1400,0.0667,0.0123,0.0066,0.6599,2022-12-12 23:54:05,"Unchanged"
2022-12-12,"MIA @ IND","Aaron Nesmith","IND",1019,0.0894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,0.1,-0.0106,-0.0059,-0.591,NA,NA,NA,NA,NA,1300,0.0714,0.0179,0.0097,0.9656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05,"New"
2022-12-12,"BOS @ LAC","Marcus Morris Sr.","LAC",872,0.1029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,0.1176,-0.0148,-0.0084,-0.8367,700,0.125,-0.0221,-0.0126,-1.2639,1000,0.0909,0.012,0.0066,0.6585,750,0.1176,-0.0148,-0.0084,-0.8367,NA,NA,NA,NA,NA,2022-12-12 23:54:05,"Unchanged"
2022-12-12,"ATL @ MEM","Brandon Clarke","MEM",816,0.1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,0.0714,0.0378,0.0204,2.0351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05,"New"
2022-12-12,"MIA @ IND","Caleb Martin","MIA",978,0.0928,1500,0.0625,0.0303,0.0162,1.6162,1500,0.0625,0.0303,0.0162,1.6162,700,0.125,-0.0322,-0.0184,-1.8398,NA,NA,NA,NA,NA,1500,0.0625,0.0303,0.0162,1.6162,1000,0.0909,0.0019,0.001,0.1042,1400,0.0667,0.0261,0.014,1.4002,2022-12-12 23:54:05,"Unchanged"
2022-12-12,"MIN @ POR","Jaden McDaniels","MIN",1128,0.0814,1500,0.0625,0.0189,0.0101,1.0082,1500,0.0625,0.0189,0.0101,1.0082,1100,0.0833,-0.0019,-0.0011,-0.1052,900,0.1,-0.0186,-0.0103,-1.0331,1500,0.0625,0.0189,0.0101,1.0082,1400,0.0667,0.0147,0.0079,0.7895,1400,0.0667,0.0147,0.0079,0.7895,2022-12-12 23:54:05,"Unchanged"
2022-12-12,"OKC @ DAL","Aleksej Pokusevski","OKC",990,0.0917,1300,0.0714,0.0203,0.0109,1.0925,1300,0.0714,0.0203,0.0109,1.0925,1300,0.0714,0.0203,0.0109,1.0925,900,0.1,-0.0083,-0.0046,-0.4601,1300,0.0714,0.0203,0.0109,1.0925,850,0.1053,-0.0135,-0.0076,-0.7569,1200,0.0769,0.0148,0.008,0.8014,2022-12-12 23:54:05,"Unchanged"
2022-12-12,"MIN @ POR","Josh Hart","POR",1186,0.0777,1300,0.0714,0.0063,0.0034,0.3397,1300,0.0714,0.0063,0.0034,0.3397,900,0.1,-0.0223,-0.0124,-1.2368,1000,0.0909,-0.0132,-0.0072,-0.7244,1300,0.0714,0.0063,0.0034,0.3397,1200,0.0769,8e-04,4e-04,0.0441,1400,0.0667,0.0111,0.0059,0.5931,2022-12-12 23:54:05,"Unchanged"
